scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2001-09-09 17:03:43,KC,24.0,OAK,27.0,OAK
2001-09-09 17:01:28,BAL,17.0,CHI,6.0,BAL
2001-09-09 20:16:01,SD,30.0,WAS,3.0,SD
2001-09-09 17:04:12,NYJ,24.0,IND,45.0,IND
2001-09-10 00:37:52,TEN,23.0,MIA,31.0,MIA
2001-09-23 17:16:49,KC,3.0,NYG,13.0,NYG
2001-09-23 17:13:01,DAL,21.0,SD,32.0,SD
2001-09-23 17:12:51,CHI,17.0,MIN,10.0,CHI
2001-09-23 17:11:57,CIN,21.0,BAL,10.0,CIN
2001-09-23 20:14:57,NE,3.0,NYJ,10.0,NYJ
2001-09-23 23:39:40,ARI,17.0,DEN,38.0,DEN
2001-09-23 20:27:39,SEA,3.0,PHI,27.0,PHI
2001-09-23 20:30:32,SF,26.0,STL,30.0,STL
2001-09-23 17:10:00,JAC,13.0,TEN,6.0,JAC
2001-09-23 17:13:13,CLE,24.0,DET,14.0,CLE
2001-09-23 17:11:36,ATL,24.0,CAR,16.0,ATL
2001-09-23 16:14:39,IND,42.0,BUF,26.0,IND
2001-09-23 17:10:54,MIA,18.0,OAK,15.0,MIA
2001-09-25 01:11:07,GB,37.0,WAS,0.0,GB
2001-09-30 07:00:00,OAK,38.0,SEA,14.0,OAK
2001-09-30 17:04:12,NYG,21.0,NO,13.0,NYG
2001-09-30 19:06:14,ARI,14.0,ATL,34.0,ATL
2001-09-30 17:05:46,MIN,20.0,TB,16.0,MIN
2001-09-30 20:17:53,SD,28.0,CIN,14.0,SD
2001-09-30 17:03:46,STL,42.0,MIA,10.0,STL
2001-10-02 01:12:19,NYJ,17.0,SF,19.0,SF
2001-09-30 17:16:25,WAS,13.0,KC,45.0,KC
2001-09-30 17:04:04,NE,44.0,IND,13.0,NE
2001-09-30 20:15:44,DEN,13.0,BAL,20.0,BAL
2001-10-01 00:37:14,PHI,40.0,DAL,18.0,PHI
2001-09-30 17:04:49,BUF,3.0,PIT,20.0,PIT
2001-09-30 17:06:47,CAR,7.0,GB,28.0,GB
2001-09-30 20:15:58,JAC,14.0,CLE,23.0,CLE
2001-10-07 17:02:08,BAL,26.0,TEN,7.0,BAL
2001-10-07 20:05:44,BUF,36.0,NYJ,42.0,NYJ
2001-10-07 17:10:15,PHI,20.0,ARI,21.0,ARI
2001-10-08 00:39:33,SF,24.0,CAR,14.0,SF
2001-10-07 17:05:44,ATL,3.0,CHI,31.0,CHI
2001-10-07 20:07:29,SEA,24.0,JAC,15.0,SEA
2001-10-07 07:00:00,OAK,28.0,DAL,21.0,OAK
2001-10-07 17:03:00,MIA,30.0,NE,10.0,MIA
2001-10-09 01:09:43,DET,0.0,STL,35.0,STL
2001-10-07 20:05:43,DEN,20.0,KC,6.0,DEN
2001-10-07 17:05:10,NO,28.0,MIN,15.0,NO
