,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-04-23,15,1,0,0,0,0,0,0,No Game
2010-04-24,0,0,0,0,0,0,0,1,No Game
2010-04-25,9,0,0,0,0,0,0,1,No Game
2010-04-25,15,0,0,0,0,0,0,1,No Game
2010-04-25,16,1,0,0,0,0,0,0,No Game
2010-04-25,21,0,0,1,0,0,0,0,No Game
2010-04-26,0,0,0,1,0,0,0,0,No Game
2010-04-26,1,0,0,1,0,0,0,0,No Game
2010-04-26,4,0,0,0,0,0,0,1,No Game
2010-04-26,9,0,0,1,0,0,0,0,No Game
2010-04-27,2,0,1,0,0,0,0,0,No Game
2010-04-27,16,1,0,0,0,0,0,0,No Game
2010-04-27,20,0,1,0,0,0,0,0,No Game
2010-04-27,22,1,0,0,0,0,0,0,No Game
2010-04-28,6,0,0,1,0,0,0,0,No Game
2010-04-28,20,0,0,0,0,0,0,1,No Game
2010-04-28,20,0,1,0,0,0,0,0,No Game
2010-04-28,23,0,1,0,0,0,0,0,No Game
2010-04-29,15,1,0,0,0,0,0,0,No Game
2010-04-30,20,1,0,0,0,0,0,0,No Game
2010-05-01,0,0,0,0,0,1,0,0,No Game
2010-05-01,2,1,0,0,0,0,0,0,No Game
2010-05-01,12,0,1,0,0,0,0,0,No Game
2010-05-01,18,0,0,0,0,0,0,1,No Game
2010-05-02,19,0,1,0,0,0,0,0,No Game
2010-05-02,20,0,0,0,0,0,1,0,No Game
2010-05-02,22,0,0,0,0,0,0,1,No Game
2010-05-03,5,0,0,0,0,0,1,0,No Game
2010-05-03,9,1,0,0,0,0,0,0,No Game
2010-05-03,18,0,0,1,0,0,0,0,No Game
2010-05-04,10,0,0,0,0,0,0,1,No Game
2010-05-04,10,0,0,1,0,0,0,0,No Game
2010-05-04,11,0,0,0,0,0,0,1,No Game
2010-05-04,20,0,0,0,0,0,0,1,No Game
2010-05-04,22,0,0,1,0,0,0,0,No Game
2010-05-05,13,0,0,0,0,0,0,1,No Game
2010-05-05,20,0,0,0,0,0,1,0,No Game
2010-05-05,20,0,0,1,0,0,0,0,No Game
2010-05-06,1,0,0,1,0,0,0,0,No Game
2010-05-06,20,0,0,0,0,0,0,1,No Game
2010-05-07,10,1,0,0,0,0,0,0,No Game
2010-05-07,13,0,0,1,0,0,0,0,No Game
2010-05-07,15,0,0,0,0,0,0,1,No Game
2010-05-07,21,1,0,0,0,0,0,0,No Game
2010-05-07,23,1,0,0,0,0,0,0,No Game
2010-05-07,23,1,0,0,0,0,0,0,No Game
2010-05-08,2,0,0,0,0,0,1,0,No Game
2010-05-08,3,0,0,0,0,0,0,1,No Game
2010-05-09,16,0,0,0,0,0,1,0,No Game
2010-05-10,0,0,0,1,0,0,0,0,No Game
2010-05-10,8,0,0,1,0,0,0,0,No Game
2010-05-10,17,0,0,0,0,0,1,0,No Game
2010-05-10,18,0,0,0,0,0,0,1,No Game
2010-05-11,7,0,0,0,0,0,0,1,No Game
2010-05-11,10,0,0,0,0,0,0,1,No Game
2010-05-11,15,0,0,0,0,0,0,1,No Game
2010-05-11,21,0,1,0,0,0,0,0,No Game
2010-05-12,4,0,0,0,0,0,1,0,No Game
2010-05-12,6,0,0,0,0,0,1,0,No Game
2010-05-12,7,0,0,0,0,0,0,1,No Game
2010-05-12,14,0,0,0,0,0,0,1,No Game
2010-05-12,17,0,0,0,0,0,0,1,No Game
2010-05-13,10,0,0,0,0,0,0,1,No Game
2010-05-13,17,0,0,1,0,0,0,0,No Game
2010-05-13,20,1,0,0,0,0,0,0,No Game
2010-05-13,20,1,0,0,0,0,0,0,No Game
2010-05-14,0,1,0,0,0,0,0,0,No Game
2010-05-14,4,0,0,0,0,1,0,0,No Game
2010-05-14,5,0,1,0,0,0,0,0,No Game
2010-05-14,7,0,0,0,0,0,0,1,No Game
2010-05-14,12,0,0,1,0,0,0,0,No Game
2010-05-14,12,0,0,0,0,0,1,0,No Game
2010-05-14,20,0,0,0,0,0,0,1,No Game
2010-05-14,22,1,0,0,0,0,0,0,No Game
2010-05-14,22,0,0,1,0,0,0,0,No Game
2010-05-15,0,0,0,1,0,0,0,0,No Game
2010-05-15,2,0,1,0,0,0,0,0,No Game
2010-05-15,18,0,0,1,0,0,0,0,No Game
2010-05-16,5,0,0,0,0,0,0,1,No Game
2010-05-16,10,0,1,0,0,0,0,0,No Game
2010-05-16,18,1,0,0,0,0,0,0,No Game
2010-05-17,4,0,0,0,0,0,1,0,No Game
2010-05-17,8,0,0,0,0,0,0,1,No Game
2010-05-17,15,1,0,0,0,0,0,0,No Game
2010-05-17,16,1,0,0,0,0,0,0,No Game
2010-05-18,7,0,0,1,0,0,0,0,No Game
2010-05-18,13,0,0,0,0,0,0,1,No Game
2010-05-18,16,0,0,1,0,0,0,0,No Game
2010-05-18,19,0,0,0,0,0,0,1,No Game
2010-05-19,1,1,0,0,0,0,0,0,No Game
2010-05-19,10,0,0,0,0,0,0,1,No Game
2010-05-19,12,0,0,0,0,0,0,1,No Game
2010-05-19,14,1,0,0,0,0,0,0,No Game
2010-05-19,20,1,0,0,0,0,0,0,No Game
2010-05-20,10,0,0,0,0,0,0,1,No Game
2010-05-20,23,0,0,0,0,0,0,1,No Game
2010-05-21,3,1,0,0,0,0,0,0,No Game
2010-05-21,20,0,0,1,0,0,0,0,No Game
2010-05-21,21,1,0,0,0,0,0,0,No Game
2010-05-22,9,0,0,1,0,0,0,0,No Game
2010-05-22,15,0,0,0,0,0,0,1,No Game
2010-05-22,20,0,0,1,0,0,0,0,No Game
2010-05-22,21,0,0,0,0,0,0,1,No Game
2010-05-22,23,0,0,0,0,0,0,1,No Game
2010-05-23,9,0,0,0,0,0,0,1,No Game
2010-05-23,12,1,0,0,0,0,0,0,No Game
2010-05-23,14,0,1,0,0,0,0,0,No Game
2010-05-23,18,0,0,1,0,0,0,0,No Game
2010-05-23,20,1,0,0,0,0,0,0,No Game
2010-05-23,22,0,0,0,0,0,0,1,No Game
2010-05-24,21,0,0,0,0,0,0,1,No Game
2010-05-25,0,0,0,0,0,0,0,1,No Game
2010-05-25,7,0,0,0,0,0,0,1,No Game
2010-05-25,21,0,0,0,0,0,0,1,No Game
2010-05-26,0,0,0,0,0,0,0,1,No Game
2010-05-26,20,1,0,0,0,0,0,0,No Game
2010-05-26,22,0,0,0,0,0,0,1,No Game
2010-05-27,8,0,0,1,0,0,0,0,No Game
2010-05-27,15,0,0,0,0,0,0,1,No Game
2010-05-27,21,0,0,1,0,0,0,0,No Game
2010-05-28,3,0,0,0,0,0,1,0,No Game
2010-05-28,21,0,0,1,0,0,0,0,No Game
2010-05-29,12,0,0,0,0,0,0,1,No Game
2010-05-29,12,0,0,0,0,0,0,1,No Game
2010-05-29,16,0,1,0,0,0,0,0,No Game
2010-05-30,11,0,0,0,0,0,0,1,No Game
2010-05-30,11,0,0,0,0,0,0,1,No Game
2010-05-30,15,0,0,0,0,0,0,1,No Game
2010-05-30,17,0,0,1,0,0,0,0,No Game
2010-05-31,23,0,0,0,0,0,0,1,No Game
2010-06-01,0,0,0,0,0,0,0,1,No Game
2010-06-01,0,0,0,0,0,0,0,1,No Game
2010-06-01,5,0,0,0,0,0,0,1,No Game
2010-06-01,9,0,0,0,0,0,0,1,No Game
2010-06-01,10,0,0,0,0,0,0,1,No Game
2010-06-01,17,0,1,0,0,0,0,0,No Game
2010-06-02,0,1,0,0,0,0,0,0,No Game
2010-06-02,7,0,0,0,0,0,0,1,No Game
2010-06-02,8,0,0,0,0,0,0,1,No Game
2010-06-02,17,0,0,0,0,0,0,1,No Game
2010-06-02,23,0,0,0,0,0,1,0,No Game
2010-06-03,6,0,0,1,0,0,0,0,No Game
2010-06-03,9,0,0,0,0,0,0,1,No Game
2010-06-03,13,0,0,0,0,0,0,1,No Game
2010-06-03,15,0,0,0,0,0,0,1,No Game
2010-06-03,18,0,0,1,0,0,0,0,No Game
2010-06-04,6,0,0,0,0,0,0,1,No Game
2010-06-04,20,1,0,0,0,0,0,0,No Game
2010-06-05,0,0,0,0,0,0,0,1,No Game
2010-06-05,2,0,0,0,0,0,0,1,No Game
2010-06-05,5,0,0,0,0,0,1,0,No Game
2010-06-05,15,0,0,0,0,0,0,1,No Game
2010-06-05,17,0,0,0,0,0,0,1,No Game
2010-06-05,18,0,0,0,0,0,1,0,No Game
2010-06-05,23,0,0,0,0,0,0,1,No Game
2010-06-06,1,0,0,0,0,0,0,1,No Game
2010-06-06,15,0,0,0,0,0,0,1,No Game
2010-06-06,15,0,0,0,0,0,0,1,No Game
2010-06-06,19,0,1,0,0,0,0,0,No Game
2010-06-07,1,0,1,0,0,0,0,0,No Game
2010-06-07,7,1,0,0,0,0,0,0,No Game
2010-06-07,9,0,0,1,0,0,0,0,No Game
2010-06-07,14,0,0,0,0,0,0,1,No Game
2010-06-07,18,0,0,1,0,0,0,0,No Game
2010-06-08,8,1,0,0,0,0,0,0,No Game
2010-06-08,11,0,0,0,0,0,0,1,No Game
2010-06-08,19,0,1,0,0,0,0,0,No Game
2010-06-08,21,0,0,1,0,0,0,0,No Game
2010-06-09,11,0,1,0,0,0,0,0,No Game
2010-06-09,20,1,0,0,0,0,0,0,No Game
2010-06-09,22,1,0,0,0,0,0,0,No Game
2010-06-10,0,0,0,0,0,0,0,1,No Game
2010-06-10,12,0,0,1,0,0,0,0,No Game
2010-06-10,13,0,0,0,0,0,0,1,No Game
2010-06-10,20,0,0,1,0,0,0,0,No Game
2010-06-10,20,1,0,0,0,0,0,0,No Game
2010-06-10,21,0,1,0,0,0,0,0,No Game
2010-06-11,10,0,0,0,0,0,0,1,No Game
2010-06-11,11,0,0,0,0,0,0,1,No Game
2010-06-11,13,0,0,1,0,0,0,0,No Game
2010-06-11,15,0,0,1,0,0,0,0,No Game
2010-06-11,18,0,0,1,0,0,0,0,No Game
2010-06-11,20,0,0,0,0,0,0,1,No Game
2010-06-12,8,0,0,0,0,1,0,0,No Game
2010-06-12,15,0,0,1,0,0,0,0,No Game
2010-06-12,16,0,0,0,0,0,0,1,No Game
2010-06-12,23,0,0,1,0,0,0,0,No Game
2010-06-13,11,0,0,0,0,0,0,1,No Game
2010-06-13,14,0,0,1,0,0,0,0,No Game
2010-06-15,2,0,0,0,0,0,1,0,No Game
2010-06-15,7,0,0,0,0,0,0,1,No Game
2010-06-15,7,0,0,0,0,0,0,1,No Game
2010-06-15,8,0,0,0,0,0,0,1,No Game
