,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-09,10H10,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1.0,13.0,9.0,Saturday,Jan,2010.0,29.7485999,-95.3198781,"5350 Avenue J, Houston, TX 77011, USA",1.9703378228133395,No Game
2010-01-09,10H10,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1.0,13.0,9.0,Saturday,Jan,2010.0,29.7485999,-95.3198781,"5350 Avenue J, Houston, TX 77011, USA",1.9703378228133395,No Game
2010-01-09,10H30,Burglary,misc. business (non-specific),1.0,0.0,9.0,Saturday,Jan,2010.0,29.7463608,-95.3546763,"2450 Polk St, Houston, TX 77003, USA",0.42482523049738896,No Game
2010-01-09,10H30,Theft,commercial parking lot/garage,1.0,1.0,9.0,Saturday,Jan,2010.0,29.7466075,-95.3593348,"2050 Leeland St, Houston, TX 77003, USA",0.567545451039297,No Game
2010-01-10,1A10,Theft,other/unknown,1.0,0.0,10.0,Sunday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-10,1A10,Theft,"parks & recreation, zoo, swim pool",1.0,12.0,10.0,Sunday,Jan,2010.0,29.7537924,-95.3604003,"1550 McKinney St, Houston, TX 77010, USA",0.49318263095698284,No Game
2010-01-10,1A10,Theft,road/street/sidewalk,1.0,13.0,10.0,Sunday,Jan,2010.0,29.7639896,-95.3552236,"750 Top St, Houston, TX 77002, USA",0.8295851886953134,No Game
2010-01-10,1A10,Aggravated Assault,hospital,1.0,15.0,10.0,Sunday,Jan,2010.0,29.7480395,-95.365727,"1850 La Branch St, Houston, TX 77002, USA",0.8507166082154508,No Game
2010-01-10,1A10,Theft,road/street/sidewalk,1.0,16.0,10.0,Sunday,Jan,2010.0,29.7635668,-95.3614655,"850 Franklin St, Houston, TX 77002, USA",0.9538355499454245,No Game
2010-01-10,1A10,Theft,bar/night club parking lot,1.0,22.0,10.0,Sunday,Jan,2010.0,29.7634466,-95.3624806,"250 Milam St, Houston, TX 77002, USA",0.983414832712135,No Game
2010-01-10,1A10,Theft,commercial parking lot/garage,1.0,22.0,10.0,Sunday,Jan,2010.0,29.7616844,-95.3601463,"1050 Congress Ave, Houston, TX 77002, USA",0.8021791730171748,No Game
2010-01-10,1A10,Theft,other/unknown,1.0,23.0,10.0,Sunday,Jan,2010.0,29.7619082,-95.3666287,"550 Texas St, Houston, TX 77204, USA",1.085536715870186,No Game
2010-01-10,10H10,Auto Theft,other/unknown,1.0,2.0,10.0,Sunday,Jan,2010.0,29.7475933,-95.3260089,"4750 Canal St, Houston, TX 77011, USA",1.6176237476039996,No Game
2010-01-10,10H10,Theft,road/street/sidewalk,1.0,22.0,10.0,Sunday,Jan,2010.0,29.7435425,-95.3208592,"5350 Sherman St, Houston, TX 77011, USA",1.9873256529944057,No Game
2010-01-10,10H10,Theft,driveway,1.0,22.0,10.0,Sunday,Jan,2010.0,29.7439695,-95.3220286,"5250 Sherman St, Houston, TX 77011, USA",1.9114619253702372,No Game
2010-01-11,1A10,Theft,service/gas station,1.0,0.0,11.0,Monday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-11,1A10,Auto Theft,road/street/sidewalk,1.0,10.0,11.0,Monday,Jan,2010.0,29.760336,-95.3562863,"1450 Franklin St, Houston, TX 77002, USA",0.607117100291923,No Game
2010-01-11,1A10,Theft,commercial parking lot/garage,1.0,16.0,11.0,Monday,Jan,2010.0,29.7632773,-95.3606359,"950 Franklin St, Houston, TX 77002, USA",0.9094698218263615,No Game
2010-01-11,1A10,Theft,commercial parking lot/garage,1.0,17.0,11.0,Monday,Jan,2010.0,29.757715500000003,-95.3696457,"1150 Smith St, Houston, TX 77002, USA",1.1039037553626772,No Game
2010-01-11,1A10,Theft,road/street/sidewalk,1.0,17.0,11.0,Monday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-11,1A10,Theft,commercial parking lot/garage,1.0,21.0,11.0,Monday,Jan,2010.0,29.761716,-95.3698691,"850 Bagby St, Houston, TX 77002, USA",1.2376818804274654,No Game
2010-01-11,1A10,Aggravated Assault,bus station,1.0,22.0,11.0,Monday,Jan,2010.0,29.7496447,-95.3683817,"1850 San Jacinto St, Houston, TX 77002, USA",0.9765389821462159,No Game
2010-01-11,10H30,Auto Theft,other/unknown,1.0,18.0,11.0,Monday,Jan,2010.0,29.736935,-95.3443579,"1850 Milby St, Houston, TX 77003, USA",1.1572144038163161,No Game
2010-01-11,10H30,Theft,residence/house,1.0,20.0,11.0,Monday,Jan,2010.0,29.7393956,-95.3433508,"1450 Milby St, Houston, TX 77003, USA",1.0361742210430687,No Game
2010-01-11,10H30,Theft,restaurant/cafeteria parking lot,1.0,23.0,11.0,Monday,Jan,2010.0,29.7511977,-95.3561884,"2050 McKinney St, Houston, TX 77003, USA",0.23792809366585296,No Game
2010-01-12,1A10,Theft,commercial building,1.0,12.0,12.0,Tuesday,Jan,2010.0,29.7582881,-95.3664104,"950 Milam St, Houston, TX 77002, USA",0.9406686305023353,No Game
2010-01-12,1A10,Theft,road/street/sidewalk,1.0,18.0,12.0,Tuesday,Jan,2010.0,29.7616844,-95.3601463,"1050 Congress Ave, Houston, TX 77002, USA",0.8021791730171748,No Game
2010-01-12,1A10,Theft,road/street/sidewalk,1.0,22.0,12.0,Tuesday,Jan,2010.0,29.762703,-95.3596809,"1050 Franklin St, Houston, TX 77002, USA",0.8454681543434716,No Game
2010-01-12,1A10,Theft,commercial parking lot/garage,1.0,22.0,12.0,Tuesday,Jan,2010.0,29.7614402,-95.361675,"950 Preston St, Houston, TX 77002, USA",0.8460398036530359,No Game
2010-01-12,10H10,Robbery,convenience store,1.0,23.0,12.0,Tuesday,Jan,2010.0,29.744530600000004,-95.3336753,"4450 Harrisburg Blvd, Houston, TX 77003, USA",1.2432463261627882,No Game
2010-01-12,10H30,Burglary,residence/house,1.0,12.0,12.0,Tuesday,Jan,2010.0,29.7444096,-95.3523431,"2750 Clay St, Houston, TX 77003, USA",0.5365971767413964,No Game
2010-01-13,1A10,Theft,park & ride terminal,1.0,0.0,13.0,Wednesday,Jan,2010.0,29.7599941,-95.3514096,"1850 Ruiz St, Houston, TX 77002, USA",0.5401315120272664,No Game
2010-01-13,1A10,Auto Theft,mall parking lot,1.0,15.0,13.0,Wednesday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-13,1A10,Theft,"theatres,dinner theaters,auditor.",1.0,18.0,13.0,Wednesday,Jan,2010.0,29.7625424,-95.3645194,"450 Louisiana St, Houston, TX 77002, USA",1.0188118306241503,No Game
2010-01-13,1A10,Theft,other parking lot,1.0,19.0,13.0,Wednesday,Jan,2010.0,29.761716,-95.3698691,"850 Bagby St, Houston, TX 77002, USA",1.2376818804274654,No Game
2010-01-13,1A10,Theft,bus stop,1.0,22.0,13.0,Wednesday,Jan,2010.0,29.7583567,-95.3620204,"1150 Capitol St, Houston, TX 77002, USA",0.7170290403845823,No Game
2010-01-13,10H10,Robbery,check cashing places,1.0,10.0,13.0,Wednesday,Jan,2010.0,29.738884,-95.3137572,"6250 Harrisburg Blvd, Houston, TX 77011, USA",2.49720071309889,No Game
2010-01-13,10H10,Theft,apartment,1.0,11.0,13.0,Wednesday,Jan,2010.0,29.754861,-95.3418768,"2850 Canal St, Houston, TX 77003, USA",0.6584811605682221,No Game
2010-01-13,10H10,Theft,commercial parking lot/garage,1.0,22.0,13.0,Wednesday,Jan,2010.0,29.750238300000003,-95.3414617,"3250 Garrow St, Houston, TX 77003, USA",0.6711636797406799,No Game
