,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address
6426,2015-06-18 11:00:00,10H50,Theft,residence/house,1,11,18,Thursday,Jun,2015,29.7291985,-95.3519634,"3450 Beulah St, Houston, TX 77004, USA"
6427,2015-06-18 12:00:00,10H50,Burglary,bar or night club,1,12,18,Thursday,Jun,2015,29.7309338,-95.36803990000001,"3750 Emancipation Ave, Houston, TX 77004, USA"
6428,2015-06-18 18:00:00,10H50,Auto Theft,driveway,1,18,18,Thursday,Jun,2015,29.732868800000002,-95.3522815,"3350 Dennis St, Houston, TX 77004, USA"
6429,2015-06-19 16:00:00,10H50,Robbery,road/street/sidewalk,1,16,19,Friday,Jun,2015,29.738548600000005,-95.42715759999999,"3250 W Alabama St, Houston, TX 77098, USA"
6430,2015-06-20 00:00:00,10H50,Aggravated Assault,convenience store parking lot,1,0,20,Saturday,Jun,2015,29.733368300000002,-95.3659167,"3350 Emancipation Ave, Houston, TX 77004, USA"
6431,2015-06-20 09:00:00,10H50,Theft,bar or night club parking lot,1,9,20,Saturday,Jun,2015,29.7422315,-95.3592257,"2350 Pierce St, Houston, TX 77003, USA"
6432,2015-06-20 12:00:00,10H50,Theft,"hotel, motel, inn, etc.",1,12,20,Saturday,Jun,2015,29.728306,-95.3659775,"2650 Truxillo St, Houston, TX 77004, USA"
6433,2015-06-20 15:00:00,10H50,Aggravated Assault,driveway,1,15,20,Saturday,Jun,2015,29.732199600000005,-95.3591373,"3050 Sauer St, Houston, TX 77004, USA"
6434,2015-06-20 23:00:00,10H50,Theft,service or gas station,1,23,20,Saturday,Jun,2015,29.733368300000002,-95.3659167,"3350 Emancipation Ave, Houston, TX 77004, USA"
6435,2015-06-21 09:00:00,10H50,Auto Theft,residence/house,1,9,21,Sunday,Jun,2015,29.743542600000005,-95.3609533,"2150 Pierce St, Houston, TX 77003, USA"
6436,2015-06-21 18:00:00,10H50,Aggravated Assault,residence/house,1,18,21,Sunday,Jun,2015,29.729483399999996,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA"
6437,2015-06-22 19:00:00,10H50,Theft,residence/house,1,19,22,Monday,Jun,2015,29.7322299,-95.3694865,"2150 Winbern St, Houston, TX 77004, USA"
6438,2015-06-24 12:00:00,10H50,Burglary,"vacant single occ resd(house,townhs,dplex)",1,12,24,Wednesday,Jun,2015,29.728936199999996,-95.3670152,"2550 Truxillo St, Houston, TX 77004, USA"
6439,2015-06-24 14:00:00,10H50,Aggravated Assault,residence/house,1,14,24,Wednesday,Jun,2015,29.7284464,-95.3512864,"3250 Napoleon St, Houston, TX 77004, USA"
6440,2015-06-24 17:00:00,10H50,Aggravated Assault,apartment,1,17,24,Wednesday,Jun,2015,29.7236851,-95.3613013,"3250 Cleburne St, Houston, TX 77004, USA"
6441,2015-06-24 17:00:00,10H50,Aggravated Assault,apartment,1,17,24,Wednesday,Jun,2015,29.734011499999998,-95.3657199,"3250 Emancipation Ave, Houston, TX 77004, USA"
6442,2015-06-24 17:00:00,10H50,Theft,road/street/sidewalk,1,17,24,Wednesday,Jun,2015,29.7236851,-95.3613013,"3250 Cleburne St, Houston, TX 77004, USA"
6443,2015-06-24 17:00:00,10H50,Theft,road/street/sidewalk,1,17,24,Wednesday,Jun,2015,29.734011499999998,-95.3657199,"3250 Emancipation Ave, Houston, TX 77004, USA"
6444,2015-06-25 00:00:00,10H50,Robbery,road/street/sidewalk,1,0,25,Thursday,Jun,2015,29.696126300000003,-95.2891254,"3550 Gulf Fwy, Houston, TX 77087, USA"
6445,2015-06-25 19:00:00,10H50,Auto Theft,driveway,1,19,25,Thursday,Jun,2015,29.7327718,-95.3505311,"2650 Canfield St, Houston, TX 77004, USA"
6446,2015-06-26 15:00:00,10H50,Theft,driveway,1,15,26,Friday,Jun,2015,29.7280691,-95.3687061,"2450 Cleburne St, Houston, TX 77004, USA"
6447,2015-06-26 21:00:00,10H50,Theft,road/street/sidewalk,1,21,26,Friday,Jun,2015,29.741480600000003,-95.360932,"2150 Bastrop St, Houston, TX 77003, USA"
6448,2015-06-27 02:00:00,10H50,Theft,road/street/sidewalk,1,2,27,Saturday,Jun,2015,29.7415103,-95.3598424,"2350 Gray St, Houston, TX 77003, USA"
6449,2015-06-27 02:00:00,10H50,Theft,road/street/sidewalk,1,2,27,Saturday,Jun,2015,29.740915500000003,-95.3588428,"2450 Gray St, Houston, TX 77003, USA"
6450,2015-06-27 02:00:00,10H50,Theft,road/street/sidewalk,1,2,27,Saturday,Jun,2015,29.7415103,-95.3598424,"2350 Gray St, Houston, TX 77003, USA"
6451,2015-06-27 02:00:00,10H50,Theft,road/street/sidewalk,1,2,27,Saturday,Jun,2015,29.740915500000003,-95.3588428,"2450 Gray St, Houston, TX 77003, USA"
6452,2015-06-27 10:00:00,10H50,Burglary,"vacant single occ resd(house,townhs,dplex)",1,10,27,Saturday,Jun,2015,29.731555100000005,-95.36625009999999,"3550 St Charles St, Houston, TX 77004, USA"
6453,2015-06-27 15:00:00,10H50,Robbery,apartment,1,15,27,Saturday,Jun,2015,29.7259891,-95.35891059999999,"3750 Burkett St, Houston, TX 77004, USA"
6454,2015-06-28 03:00:00,10H50,Theft,convenience store parking lot,1,3,28,Sunday,Jun,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6455,2015-06-28 09:00:00,10H50,Theft,road/street/sidewalk,1,9,28,Sunday,Jun,2015,29.73277879999999,-95.3491363,"3450 McGowen St, Houston, TX 77004, USA"
6456,2015-06-28 17:00:00,10H50,Auto Theft,residence/house,1,17,28,Sunday,Jun,2015,29.730867100000005,-95.3528939,"3350 Anita St, Houston, TX 77004, USA"
6457,2015-06-29 14:00:00,10H50,Theft,road/street/sidewalk,1,14,29,Monday,Jun,2015,29.7257803,-95.3507342,"3550 Reeves St, Houston, TX 77004, USA"
6458,2015-06-29 19:00:00,10H50,Aggravated Assault,convenience store parking lot,1,19,29,Monday,Jun,2015,29.732199600000005,-95.3591373,"3050 Sauer St, Houston, TX 77004, USA"
6459,2015-06-30 09:00:00,10H50,Robbery,road/street/sidewalk,1,9,30,Tuesday,Jun,2015,29.7313494,-95.3497734,"3450 Drew St, Houston, TX 77004, USA"
6460,2015-06-30 13:00:00,10H50,Burglary,commercial building,1,13,30,Tuesday,Jun,2015,29.692833299999997,-95.3644694,"3750 Ward St, Houston, TX 77021, USA"
6461,2015-06-30 15:00:00,10H50,Aggravated Assault,commercial parking lot or garage,1,15,30,Tuesday,Jun,2015,29.678126300000002,-95.4180171,"2550 S Loop W, Houston, TX 77054, USA"
6462,2015-07-01 13:00:00,10H50,Theft,road/street/sidewalk,1,13,1,Wednesday,Jul,2015,29.7343436,-95.3616489,"2950 Nagle St, Houston, TX 77004, USA"
6463,2015-07-01 15:00:00,10H50,Theft,residence/house,1,15,1,Wednesday,Jul,2015,29.7342065,-95.34973620000001,"2450 Canfield St, Houston, TX 77004, USA"
6464,2015-07-02 17:00:00,10H50,Theft,bus station,1,17,2,Thursday,Jul,2015,29.736990999999996,-95.3606366,"2550 McGowen St, Houston, TX 77004, USA"
6465,2015-07-02 20:00:00,10H50,Theft,"other, unknown, or not listed",1,20,2,Thursday,Jul,2015,29.7276642,-95.3470468,"3750 Elgin St, Houston, TX 77004, USA"
6466,2015-07-03 00:00:00,10H50,Aggravated Assault,residence/house,1,0,3,Friday,Jul,2015,29.7273665,-95.3516553,"3350 Napoleon St, Houston, TX 77004, USA"
6467,2015-07-03 01:00:00,10H50,Robbery,service or gas station,1,1,3,Friday,Jul,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6468,2015-07-03 07:00:00,10H50,Theft,residence/house,1,7,3,Friday,Jul,2015,29.908352500000003,-95.30963320000001,"3050 Mary Francis St, Houston, TX 77039, USA"
