Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2015-08-02 04:00:00,10H30,3500-3599,GULF,Robbery,road/street/sidewalk,1,4,2,Sunday,Aug,2015,3550,3550 GULF,"((29.6961263, -95.28912539999999), '3550 Gulf Fwy, Houston, TX 77087, USA')"
2015-08-02 19:00:00,10H30,700-799,NAGLE,Theft,"vacant single occ resd(house,townhs,dplex)",1,19,2,Sunday,Aug,2015,750,750 NAGLE,"((29.75015389999999, -95.3490973), '750 Nagle St, Houston, TX 77003, USA')"
2015-08-04 09:00:00,10H30,2000-2099,WALKER,Burglary,bar or night club,1,9,4,Tuesday,Aug,2015,2050,2050 WALKER,"((29.75201419999999, -95.3552677), '2050 Walker St, Houston, TX 77003, USA')"
2015-08-04 12:00:00,10H30,2000-2099,CONGRESS,Aggravated Assault,social services or public charities,1,12,4,Tuesday,Aug,2015,2050,2050 CONGRESS,"((29.756494, -95.3516652), '2050 Congress Ave, Houston, TX 77002, USA')"
2015-08-05 08:00:00,10H30,2000-2099,TEXAS,Theft,apartment,1,8,5,Wednesday,Aug,2015,2050,2050 TEXAS,"((29.7542196, -95.3537248), '2050 Texas St, Houston, TX 77003, USA')"
2015-08-05 18:00:00,10H30,2500-2599,MCKINNEY,Theft,strip business center parking lot,1,18,5,Wednesday,Aug,2015,2550,2550 MCKINNEY,"((29.7485764, -95.35152880000001), '2550 McKinney St, Houston, TX 77003, USA')"
2015-08-06 12:00:00,10H30,1700-1799,ENNIS,Theft,road/street/sidewalk,1,12,6,Thursday,Aug,2015,1750,1750 ENNIS,"((29.7410944, -95.3522058), '1750 Ennis St, Houston, TX 77003, USA')"
2015-08-06 15:00:00,10H30,600-699,DELANO,Auto Theft,driveway,1,15,6,Thursday,Aug,2015,650,650 DELANO,"((29.750325, -95.3479703), '650 Delano St, Houston, TX 77003, USA')"
2015-08-07 14:00:00,10H30,2200-2299,TEXAS,Theft,"stadium, sports arena, race track",1,14,7,Friday,Aug,2015,2250,2250 TEXAS,"((29.7529365, -95.3518819), '2250 Texas St, Houston, TX 77003, USA')"
2015-08-08 07:00:00,10H30,2000-2099,WALKER,Burglary,bar or night club,1,7,8,Saturday,Aug,2015,2050,2050 WALKER,"((29.75201419999999, -95.3552677), '2050 Walker St, Houston, TX 77003, USA')"
2015-08-09 10:00:00,10H30,1700-1799,LIVE OAK,Theft,road/street/sidewalk,1,10,9,Sunday,Aug,2015,1750,1750 LIVE OAK,"((29.7426488, -95.35595529999999), '1750 Live Oak St, Houston, TX 77003, USA')"
2015-08-09 12:00:00,10H30,2800-2899,PEASE,Theft,residence/house,1,12,9,Sunday,Aug,2015,2850,2850 PEASE,"((29.7422128, -95.35317200000001), '2850 Pease St, Houston, TX 77003, USA')"
2015-08-10 21:00:00,10H30,2100-2199,WALKER,Theft,road/street/sidewalk,1,21,10,Monday,Aug,2015,2150,2150 WALKER,"((29.75175, -95.3544501), '2150 Walker St, Houston, TX 77003, USA')"
2015-08-11 17:00:00,10H30,900-999,SAINT EMANUEL,Theft,road/street/sidewalk,1,17,11,Tuesday,Aug,2015,950,950 SAINT EMANUEL,"((29.7515396, -95.35564860000001), '950 St Emanuel St, Houston, TX 77003, USA')"
2015-08-12 11:00:00,10H30,1500-1599,PALMER,Auto Theft,road/street/sidewalk,1,11,12,Wednesday,Aug,2015,1550,1550 PALMER,"((29.7418989, -95.350653), '1550 Palmer St, Houston, TX 77003, USA')"
2015-08-12 13:00:00,10H30,1200-1299,DELANO,Theft,"other, unknown, or not listed",1,13,12,Wednesday,Aug,2015,1250,1250 DELANO,"((29.7456673, -95.35152409999999), '1250 Delano St, Houston, TX 77003, USA')"
2015-08-12 21:00:00,10H30,2200-2299,POLK,Auto Theft,road/street/sidewalk,1,21,12,Wednesday,Aug,2015,2250,2250 POLK,"((29.7478967, -95.35613), '2250 Polk St, Houston, TX 77003, USA')"
2015-08-13 01:00:00,10H30,800-899,SAINT EMANUEL,Theft,bar or night club parking lot,1,1,13,Thursday,Aug,2015,850,850 SAINT EMANUEL,"((29.7524653, -95.35478769999999), '850 St Emanuel St, Houston, TX 77003, USA')"
2015-08-14 08:00:00,10H30,1500-1599,MILBY,Auto Theft,road/street/sidewalk,1,8,14,Friday,Aug,2015,1550,1550 MILBY,"((29.7388046, -95.343527), '1550 Milby St, Houston, TX 77003, USA')"
2015-08-15 03:00:00,10H30,1000-1099,CHARTRES,Theft,road/street/sidewalk,1,3,15,Saturday,Aug,2015,1050,1050 CHARTRES,"((29.7513725, -95.356658), '1050 Chartres St, Houston, TX 77003, USA')"
2015-08-15 03:00:00,10H30,2000-2099,LEELAND,Theft,bar or night club parking lot,1,3,15,Saturday,Aug,2015,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2015-08-17 06:00:00,10H30,2000-2099,WALKER,Theft,commercial parking lot or garage,1,6,17,Monday,Aug,2015,2050,2050 WALKER,"((29.75201419999999, -95.3552677), '2050 Walker St, Houston, TX 77003, USA')"
2015-08-17 21:00:00,10H30,2100-2199,RUSK,Theft,no label,1,21,17,Monday,Aug,2015,2150,2150 RUSK,"((29.752323, -95.35382469999999), '2150 Rusk St, Houston, TX 77003, USA')"
2015-08-17 21:00:00,10H30,1300-1399,PALMER,Theft,road/street/sidewalk,1,21,17,Monday,Aug,2015,1350,1350 PALMER,"((29.7435803, -95.349578), '1350 Palmer St, Houston, TX 77003, USA')"
2015-08-17 22:00:00,10H30,2100-2199,RUSK,Theft,bar or night club parking lot,1,22,17,Monday,Aug,2015,2150,2150 RUSK,"((29.752323, -95.35382469999999), '2150 Rusk St, Houston, TX 77003, USA')"
2015-08-19 05:00:00,10H30,3500-3599,GULF,Robbery,residence/house,1,5,19,Wednesday,Aug,2015,3550,3550 GULF,"((29.6961263, -95.28912539999999), '3550 Gulf Fwy, Houston, TX 77087, USA')"
2015-08-20 05:00:00,10H30,2000-2099,COMMERCE,Aggravated Assault,road/street/sidewalk,1,5,20,Thursday,Aug,2015,2050,2050 COMMERCE,"((29.7578815, -95.35042209999999), '2050 Commerce St, Houston, TX 77002, USA')"
2015-08-20 10:00:00,10H30,1700-1799,ENNIS,Theft,road/street/sidewalk,1,10,20,Thursday,Aug,2015,1750,1750 ENNIS,"((29.7410944, -95.3522058), '1750 Ennis St, Houston, TX 77003, USA')"
2015-08-21 11:00:00,10H30,1700-1799,ENNIS,Theft,vehicle/auto sales/lease/auto parts store,1,11,21,Friday,Aug,2015,1750,1750 ENNIS,"((29.7410944, -95.3522058), '1750 Ennis St, Houston, TX 77003, USA')"
2015-08-21 21:00:00,10H30,2300-2399,CONGRESS,Theft,other parking lot,1,21,21,Friday,Aug,2015,2350,2350 CONGRESS,"((29.7549236, -95.3491525), '2350 Congress Ave, Houston, TX 77003, USA')"
2015-08-21 22:00:00,10H30,500-599,BASTROP,Theft,commercial parking lot or garage,1,22,21,Friday,Aug,2015,550,550 BASTROP,"((29.7536483, -95.3510778), '550 Bastrop St, Houston, TX 77003, USA')"
2015-08-22 10:00:00,10H30,2000-2099,RUSK,Theft,other parking lot,1,10,22,Saturday,Aug,2015,2050,2050 RUSK,"((29.7530084, -95.3547236), '2050 Rusk St, Houston, TX 77003, USA')"
2015-08-22 15:00:00,10H30,1700-1799,ADEN MIST,Theft,residence/house,1,15,22,Saturday,Aug,2015,1750,1750 ADEN MIST,"((29.741344, -95.35397789999999), '1750 Aden Mist Dr, Houston, TX 77003, USA')"
2015-08-23 09:00:00,10H30,3500-3599,GULF,Theft,convenience store parking lot,1,9,23,Sunday,Aug,2015,3550,3550 GULF,"((29.6961263, -95.28912539999999), '3550 Gulf Fwy, Houston, TX 77087, USA')"
2015-08-23 18:00:00,10H30,500-599,BASTROP,Theft,railroad track or right of way,1,18,23,Sunday,Aug,2015,550,550 BASTROP,"((29.7536483, -95.3510778), '550 Bastrop St, Houston, TX 77003, USA')"
2015-08-25 17:00:00,10H30,1200-1299,ENNIS,Burglary,residence/house,1,17,25,Tuesday,Aug,2015,1250,1250 ENNIS,"((29.7447526, -95.3492753), '1250 Ennis St, Houston, TX 77003, USA')"
2015-08-26 09:00:00,10H30,2100-2199,WALKER,Theft,road/street/sidewalk,1,9,26,Wednesday,Aug,2015,2150,2150 WALKER,"((29.75175, -95.3544501), '2150 Walker St, Houston, TX 77003, USA')"
2015-08-27 09:00:00,10H30,300-399,SAINT EMANUEL,Theft,road/street/sidewalk,1,9,27,Thursday,Aug,2015,350,350 SAINT EMANUEL,"((29.7562344, -95.35193579999999), '350 St Emanuel St, Houston, TX 77002, USA')"
2015-08-28 00:00:00,10H30,2200-2299,ST JOSEPH,Theft,road/street/sidewalk,1,0,28,Friday,Aug,2015,2250,2250 ST JOSEPH,"((29.7436035, -95.35928020000001), '2250 St Joseph Pkwy, Houston, TX 77003, USA')"
