Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-02-08 23:00:00,10H80,Theft,apartment,1,23,8,Monday,Feb,2010,"(29.7119747, -95.4147012)","2350 Addison Rd, Houston, TX 77030, USA"
2010-02-09 08:00:00,10H80,Burglary,apartment,1,8,9,Tuesday,Feb,2010,"(29.7291189, -95.3898806)","50 Pinedale St, Houston, TX 77006, USA"
2010-02-09 12:00:00,10H80,Theft,driveway,1,12,9,Tuesday,Feb,2010,"(29.73043779999999, -95.3993515)","1550 Vassar St, Houston, TX 77006, USA"
2010-02-09 13:00:00,10H80,Theft,"parks & recreation, zoo, swim pool",1,13,9,Tuesday,Feb,2010,"(29.7233094, -95.40667309999999)","1950 Sunset Blvd, Houston, TX 77005, USA"
2010-02-10 05:00:00,10H80,Burglary,residence/house,1,5,10,Wednesday,Feb,2010,"(29.7295189, -95.41044079999999)","2150 Banks St, Houston, TX 77098, USA"
2010-02-10 07:00:00,10H80,Burglary,residence/house,1,7,10,Wednesday,Feb,2010,"(29.785352, -95.3698884)","North, Houston, TX 77009, USA"
2010-02-10 15:00:00,10H80,Burglary,apartment,1,15,10,Wednesday,Feb,2010,"(29.703721, -95.41093289999999)","2250 Maroneal St, Houston, TX 77030, USA"
2010-02-10 19:00:00,10H80,Theft,misc. business (non-specific),1,19,10,Wednesday,Feb,2010,"(29.7192764, -95.4177603)","2550 Dunstan Rd, Houston, TX 77005, USA"
2010-02-10 20:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,20,10,Wednesday,Feb,2010,"(29.7174349, -95.41797199999999)","2550 Rice Boulevard, Houston, TX 77005, USA"
2010-02-11 09:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,9,11,Thursday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-11 20:00:00,10H80,Theft,department/discount store,1,20,11,Thursday,Feb,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-02-11 22:00:00,10H80,Theft,bar/night club parking lot,1,22,11,Thursday,Feb,2010,"(29.7192764, -95.4177603)","2550 Dunstan Rd, Houston, TX 77005, USA"
2010-02-11 23:00:00,10H80,Theft,bar/night club,1,23,11,Thursday,Feb,2010,"(29.71547039999999, -95.4149135)","5650 Morningside Dr, Houston, TX 77005, USA"
2010-02-12 14:00:00,10H80,Theft,specialty store (non-specific),1,14,12,Friday,Feb,2010,"(29.7176604, -95.41657870000002)","2450 Rice Boulevard, Houston, TX 77005, USA"
2010-02-12 22:00:00,10H80,Theft,hospital parking lot,1,22,12,Friday,Feb,2010,"(29.7031298, -95.38332179999999)","Jp Mcgovern Building, 2450 Holcombe Blvd, Houston, TX 77021, USA"
2010-02-13 13:00:00,10H80,Theft,other parking lot,1,13,13,Saturday,Feb,2010,"(29.7273959, -95.41773040000001)","2550 Bartlett St, Houston, TX 77098, USA"
2010-02-15 03:00:00,10H80,Burglary,bar/night club,1,3,15,Monday,Feb,2010,"(29.71547039999999, -95.4149135)","5650 Morningside Dr, Houston, TX 77005, USA"
2010-02-15 07:00:00,10H80,Theft,commercial parking lot/garage,1,7,15,Monday,Feb,2010,"(29.725733, -95.414767)","2350 Bissonnet St, Houston, TX 77098, USA"
2010-02-15 13:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,13,15,Monday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-15 14:00:00,10H80,Theft,"theatres,dinner theaters,auditor.",1,14,15,Monday,Feb,2010,"(29.7261419, -95.3914604)","1050 Bissonnet St, Houston, TX 77005, USA"
2010-02-15 17:00:00,10H80,Burglary,apartment/rental office,1,17,15,Monday,Feb,2010,"(29.703721, -95.41093289999999)","2250 Maroneal St, Houston, TX 77030, USA"
2010-02-15 19:00:00,10H80,Burglary,garage/carport,1,19,15,Monday,Feb,2010,"(29.7286098, -95.3929907)","4950 Yoakum Blvd, Houston, TX 77006, USA"
2010-02-15 23:00:00,10H80,Burglary,residence/house,1,23,15,Monday,Feb,2010,"(29.7298033, -95.4041898)","1750 Banks St, Houston, TX 77098, USA"
2010-02-16 10:00:00,10H80,Theft,road/street/sidewalk,1,10,16,Tuesday,Feb,2010,"(29.7000355, -95.4144707)","2350 Underwood St, Houston, TX 77030, USA"
2010-02-16 17:00:00,10H80,Burglary,residence/house,1,17,16,Tuesday,Feb,2010,"(32.9747287, -96.8875476)","2150 N Josey Ln Suite 306, Carrollton, TX 75006, USA"
2010-02-17 08:00:00,10H80,Burglary,residence/house,1,8,17,Wednesday,Feb,2010,"(29.701836, -95.4180844)","2550 Glen Haven Blvd, Houston, TX 77030, USA"
2010-02-17 13:00:00,10H80,Theft,department/discount store,1,13,17,Wednesday,Feb,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-02-17 18:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,18,17,Wednesday,Feb,2010,"(29.715105, -95.397329)","6400 Fannin St Suite 2450, Houston, TX 77030, USA"
2010-02-18 13:00:00,10H80,Theft,other/unknown,1,13,18,Thursday,Feb,2010,"(29.7042164, -95.4085918)","7150 Montclair Dr, Houston, TX 77030, USA"
2010-02-19 03:00:00,10H80,Burglary,office building,1,3,19,Friday,Feb,2010,"(29.6983613, -95.41137119999999)","7550 S Main St, Houston, TX 77030, USA"
2010-02-19 18:00:00,10H80,Burglary,commercial building,1,18,19,Friday,Feb,2010,"(29.7310769, -95.39142269999999)","4650 Montrose Blvd, Houston, TX 77006, USA"
2010-02-19 19:00:00,10H80,Theft,department/discount store,1,19,19,Friday,Feb,2010,"(29.7169004, -95.41581819999999)","2450 Times Blvd, Houston, TX 77005, USA"
2010-02-20 09:00:00,10H80,Burglary,apartment,1,9,20,Saturday,Feb,2010,"(29.7310817, -95.3945741)","1250 Autrey St, Houston, TX 77006, USA"
2010-02-20 12:00:00,10H80,Burglary,garage/carport,1,12,20,Saturday,Feb,2010,"(29.7250069, -95.4085026)","2050 Wroxton Rd, Houston, TX 77005, USA"
2010-02-20 15:00:00,10H80,Burglary,apartment,1,15,20,Saturday,Feb,2010,"(29.7303358, -95.3945796)","1250 Banks St, Houston, TX 77006, USA"
2010-02-20 16:00:00,10H80,Burglary,apartment,1,16,20,Saturday,Feb,2010,"(29.7300442, -95.38834539999999)","750 Chelsea Blvd, Houston, TX 77006, USA"
2010-02-20 23:00:00,10H80,Theft,service/gas station,1,23,20,Saturday,Feb,2010,"(29.7174349, -95.41797199999999)","2550 Rice Boulevard, Houston, TX 77005, USA"
2010-02-21 00:00:00,10H80,Theft,residence/house,1,0,21,Sunday,Feb,2010,"(29.7304672, -95.4040484)","1750 Vassar St, Houston, TX 77098, USA"
2010-02-21 17:00:00,10H80,Theft,department/discount store,1,17,21,Sunday,Feb,2010,"(29.7154534, -95.4176237)","2550 University Blvd, Houston, TX 77005, USA"
2010-02-21 18:00:00,10H80,Theft,other/unknown,1,18,21,Sunday,Feb,2010,"(29.7193942, -95.4151567)","5150 Morningside Dr, Houston, TX 77005, USA"
2010-02-21 19:00:00,10H80,Theft,apartment parking lot,1,19,21,Sunday,Feb,2010,"(29.7043036, -95.41201989999999)","7050 Greenbriar Dr, Houston, TX 77030, USA"
2010-02-22 00:00:00,10H80,Theft,residence/house,1,0,22,Monday,Feb,2010,"(29.7136604, -95.4122613)","2250 Dryden Rd, Houston, TX 77030, USA"
2010-02-22 07:00:00,10H80,Theft,driveway,1,7,22,Monday,Feb,2010,"(29.7065578, -95.41152900000002)","2250 W Holcombe Blvd, Houston, TX 77030, USA"
2010-02-23 06:00:00,10H80,Theft,road/street/sidewalk,1,6,23,Tuesday,Feb,2010,"(29.7297081, -95.3901771)","250 Portland St, Houston, TX 77006, USA"
2010-02-23 09:00:00,10H80,Theft,commercial parking lot/garage,1,9,23,Tuesday,Feb,2010,"(29.71538, -95.4187652)","6250 Kirby Dr, Houston, TX 77098, USA"
2010-02-23 18:00:00,10H80,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,18,23,Tuesday,Feb,2010,"(29.7144867, -95.40994719999999)","2150 University Blvd, Houston, TX 77005, USA"
2010-02-23 19:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,19,23,Tuesday,Feb,2010,"(29.7310769, -95.39142269999999)","4650 Montrose Blvd, Houston, TX 77006, USA"
2010-02-23 20:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,20,23,Tuesday,Feb,2010,"(29.7310769, -95.39142269999999)","4650 Montrose Blvd, Houston, TX 77006, USA"
2010-02-25 19:00:00,10H80,Burglary,laundry/dry cleaners/washaterias,1,19,25,Thursday,Feb,2010,"(29.7031298, -95.38332179999999)","Jp Mcgovern Building, 2450 Holcombe Blvd, Houston, TX 77021, USA"
2010-02-26 07:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,7,26,Friday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-26 21:00:00,10H80,Burglary,residence/house,1,21,26,Friday,Feb,2010,"(29.7242021, -95.4049931)","1850 Albans Rd, Houston, TX 77005, USA"
2010-02-26 21:00:00,10H80,Burglary,residence/house,1,21,26,Friday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-26 21:00:00,10H80,Theft,other parking lot,1,21,26,Friday,Feb,2010,"(29.7242021, -95.4049931)","1850 Albans Rd, Houston, TX 77005, USA"
2010-02-26 21:00:00,10H80,Theft,other parking lot,1,21,26,Friday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-26 22:00:00,10H80,Theft,bar/night club,1,22,26,Friday,Feb,2010,"(29.7160444, -95.41492439999999)","5550 Morningside Dr, Houston, TX 77005, USA"
2010-02-27 09:00:00,10H80,Theft,hotel/motel/etc.,1,9,27,Saturday,Feb,2010,"(29.7100389, -95.40390049999999)","6650 Travis St, Houston, TX 77030, USA"
2010-02-28 02:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,2,28,Sunday,Feb,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-02-28 12:00:00,10H80,Theft,residence/house,1,12,28,Sunday,Feb,2010,"(29.7072895, -95.41463999999999)","2350 Sheridan St, Houston, TX 77030, USA"
2010-03-01 11:00:00,10H80,Theft,road/street/sidewalk,1,11,1,Monday,Mar,2010,"(29.7222068, -95.41481329999999)","2350 Quenby St, Houston, TX 77005, USA"
2010-03-01 16:00:00,10H80,Theft,commercial building,1,16,1,Monday,Mar,2010,"(29.7169004, -95.41581819999999)","2450 Times Blvd, Houston, TX 77005, USA"
2010-03-02 07:00:00,10H80,Burglary,residence/house,1,7,2,Tuesday,Mar,2010,"(29.7094556, -95.41798589999999)","2550 Southgate Blvd, Houston, TX 77030, USA"
2010-03-02 19:00:00,10H80,Theft,clothing store,1,19,2,Tuesday,Mar,2010,"(29.7154534, -95.4176237)","2550 University Blvd, Houston, TX 77005, USA"
2010-03-02 19:00:00,10H80,Theft,clothing store,1,19,2,Tuesday,Mar,2010,"(29.7112161, -95.4146875)","2350 Watts St, Houston, TX 77030, USA"
2010-03-02 19:00:00,10H80,Theft,driveway,1,19,2,Tuesday,Mar,2010,"(29.7154534, -95.4176237)","2550 University Blvd, Houston, TX 77005, USA"
