scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2009-09-20 20:15:41,CHI,17.0,PIT,14.0,CHI
2009-09-20 20:15:50,SD,26.0,BAL,31.0,BAL
2009-09-21 00:31:12,DAL,31.0,NYG,33.0,NYG
2009-09-22 00:42:02,MIA,23.0,IND,27.0,IND
2009-09-27 17:02:37,DET,19.0,WAS,14.0,DET
2009-09-27 17:02:39,PHI,34.0,KC,14.0,PHI
2009-09-27 17:02:47,STL,17.0,GB,36.0,GB
2009-09-27 17:02:51,TB,0.0,NYG,24.0,NYG
2009-09-27 17:02:57,NE,26.0,ATL,10.0,NE
2009-09-27 17:02:57,HOU,24.0,JAC,31.0,JAC
2009-09-27 17:03:00,NYJ,24.0,TEN,17.0,NYJ
2009-09-27 17:03:02,MIN,27.0,SF,24.0,MIN
2009-09-27 20:05:30,SEA,19.0,CHI,25.0,CHI
2009-09-27 20:05:30,BUF,7.0,NO,27.0,NO
2009-09-27 20:15:37,SD,23.0,MIA,13.0,SD
2009-09-27 20:15:37,OAK,3.0,DEN,23.0,DEN
2009-09-27 20:15:55,CIN,23.0,PIT,20.0,CIN
2009-09-28 00:31:21,ARI,10.0,IND,31.0,IND
2009-09-28 04:13:02,BAL,34.0,CLE,3.0,BAL
2009-09-29 00:41:21,DAL,21.0,CAR,7.0,DAL
2009-10-04 17:02:33,HOU,29.0,OAK,6.0,HOU
2009-10-04 17:02:34,CHI,48.0,DET,24.0,CHI
2009-10-04 17:02:37,JAC,37.0,TEN,17.0,JAC
2009-10-04 17:02:50,NE,27.0,BAL,21.0,NE
2009-10-04 17:02:55,KC,16.0,NYG,27.0,NYG
2009-10-04 17:02:59,CLE,20.0,CIN,23.0,CIN
2009-10-04 17:03:12,WAS,16.0,TB,13.0,WAS
2009-10-04 17:03:23,IND,34.0,SEA,17.0,IND
2009-10-04 20:05:27,NO,24.0,NYJ,10.0,NO
2009-10-04 20:05:48,MIA,38.0,BUF,10.0,MIA
2009-10-04 20:15:53,DEN,17.0,DAL,10.0,DEN
2009-10-04 20:15:55,SF,35.0,STL,0.0,SF
2009-10-05 00:31:11,PIT,38.0,SD,28.0,PIT
2009-10-06 00:41:13,MIN,30.0,GB,23.0,MIN
2009-10-11 17:02:30,NYG,44.0,OAK,7.0,NYG
2009-10-11 17:02:34,STL,10.0,MIN,38.0,MIN
2009-10-11 17:02:43,DET,20.0,PIT,28.0,PIT
2009-10-11 17:02:52,PHI,33.0,TB,14.0,PHI
2009-10-11 17:02:53,BUF,3.0,CLE,6.0,CLE
2009-10-11 17:02:59,CAR,20.0,WAS,17.0,CAR
2009-10-11 17:03:37,KC,20.0,DAL,26.0,DAL
2009-10-11 17:03:44,BAL,14.0,CIN,17.0,CIN
2009-10-11 20:05:21,SF,10.0,ATL,45.0,ATL
2009-10-11 20:15:34,ARI,28.0,HOU,21.0,ARI
2009-10-11 20:15:46,SEA,41.0,JAC,0.0,SEA
2009-10-11 20:16:03,DEN,20.0,NE,17.0,DEN
2009-10-12 00:31:30,TEN,9.0,IND,31.0,IND
2009-10-13 00:38:34,MIA,31.0,NYJ,27.0,MIA
2009-10-18 17:02:24,WAS,6.0,KC,14.0,KC
2009-10-18 17:02:36,CIN,17.0,HOU,28.0,HOU
2009-10-18 17:02:38,MIN,33.0,BAL,31.0,MIN
2009-10-18 17:02:47,PIT,27.0,CLE,14.0,PIT
2009-10-18 17:02:54,TB,21.0,CAR,28.0,CAR
2009-10-18 17:03:15,NO,48.0,NYG,27.0,NO
2009-10-18 17:03:21,GB,26.0,DET,0.0,GB
2009-10-18 17:03:46,JAC,23.0,STL,20.0,JAC
2009-10-18 20:05:23,OAK,13.0,PHI,9.0,OAK
2009-10-18 20:05:26,SEA,3.0,ARI,27.0,ARI
2009-10-18 20:15:40,NYJ,13.0,BUF,16.0,BUF
2009-10-18 20:15:50,NE,59.0,TEN,0.0,NE
2009-10-19 00:31:26,ATL,21.0,CHI,14.0,ATL
2009-10-20 00:40:56,SD,23.0,DEN,34.0,DEN
