Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-02-23 17:00:00,10H30,Theft,other parking lot,1,17,23,Tuesday,Feb,2010,"(29.7413924, -95.34446779999999)","3550 Polk St, Houston, TX 77003, USA"
2010-02-23 17:00:00,10H30,Theft,other parking lot,1,17,23,Tuesday,Feb,2010,"(29.7413924, -95.34446779999999)","3550 Polk St, Houston, TX 77003, USA"
2010-02-23 17:00:00,10H30,Theft,other parking lot,1,17,23,Tuesday,Feb,2010,"(29.7413924, -95.34446779999999)","3550 Polk St, Houston, TX 77003, USA"
2010-02-23 18:00:00,10H30,Theft,road/street/sidewalk,1,18,23,Tuesday,Feb,2010,"(29.7462034, -95.3537372)","1350 Live Oak St, Houston, TX 77003, USA"
2010-02-26 11:00:00,10H30,Theft,specialty store (non-specific),1,11,26,Friday,Feb,2010,"(29.6957046, -95.29001749999999)","2850 Gulf Fwy, Houston, TX 77087, USA"
2010-02-28 09:00:00,10H30,Theft,warehouse,1,9,28,Sunday,Feb,2010,"(29.7377948, -95.34589059999999)","1650 Edmundson St, Houston, TX 77003, USA"
2010-03-01 10:00:00,10H30,Theft,road/street/sidewalk,1,10,1,Monday,Mar,2010,"(29.7469619, -95.3555075)","1350 Emancipation Ave, Houston, TX 77003, USA"
2010-03-01 18:00:00,10H30,Theft,road/street/sidewalk,1,18,1,Monday,Mar,2010,"(29.7537558, -95.3541151)","2050 Capitol St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,bar/night club parking lot,1,0,3,Wednesday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,bar/night club parking lot,1,0,3,Wednesday,Mar,2010,"(29.7492849, -95.3574047)","1250 St Emanuel St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,bar/night club parking lot,1,0,3,Wednesday,Mar,2010,"(29.750029, -95.35416699999999)","2250 McKinney St, Houston, TX 77003, USA"
