full_date,home_team,home_score,away_team,away_score,winner,season
2012-07-28,Toronto FC,0,HOU,2,HOU,reg
2012-08-03,Houston Dynamo,2,NY Red Bulls,0,HOU,reg
2012-08-10,NY Red Bulls,2,HOU,0,NY Red Bulls,reg
2012-08-19,Houston Dynamo,2,Columbus,2,Columbus,reg
2012-08-25,Houston Dynamo,1,Toronto FC,1,Toronto FC,reg
2012-09-02,Chicago,3,HOU,1,Chicago,reg
2012-09-06,Houston Dynamo,1,Real Salt Lake,0,HOU,reg
2012-09-14,Sporting KC,1,HOU,1,HOU,reg
2012-09-23,Philadelphia,3,HOU,1,Philadelphia,reg
2012-09-29,Houston Dynamo,2,New England,0,HOU,reg
2012-10-06,Houston Dynamo,1,Montreal,1,Montreal,reg
2012-10-20,Houston Dynamo,3,Philadelphia,1,HOU,reg
2012-10-27,Colorado,2,HOU,0,Colorado,reg
2013-03-02,Houston Dynamo,2,D.C. United,0,HOU,reg
2013-03-17,FC Dallas,3,HOU,2,FC Dallas,reg
2013-03-23,Houston Dynamo,2,Vancouver,1,HOU,reg
2013-03-30,Houston Dynamo,2,San Jose,0,HOU,reg
2013-04-06,Portland,2,HOU,0,Portland,reg
2013-04-14,Houston Dynamo,2,Chicago,1,HOU,reg
2013-04-20,Toronto FC,1,HOU,1,HOU,reg
2013-04-28,Houston Dynamo,1,Colorado,1,Colorado,reg
2013-05-05,LA Galaxy,0,HOU,1,HOU,reg
2013-05-08,D.C. United,0,HOU,4,HOU,reg
2013-05-12,Houston Dynamo,0,Sporting KC,1,Sporting KC,reg
2013-05-18,Houston Dynamo,0,New England,2,New England,reg
2013-05-26,Sporting KC,1,HOU,1,HOU,reg
2013-06-01,Columbus,1,HOU,1,HOU,reg
2013-06-19,Montreal,2,HOU,0,Montreal,reg
2013-06-22,Houston Dynamo,0,Toronto FC,0,Toronto FC,reg
2013-06-30,NY Red Bulls,2,HOU,0,NY Red Bulls,reg
2013-07-06,Houston Dynamo,1,Philadelphia,0,HOU,reg
2013-07-13,New England,1,HOU,2,HOU,reg
2013-07-27,Houston Dynamo,1,Chicago,1,Chicago,reg
2013-08-03,Houston Dynamo,3,Columbus,1,HOU,reg
2013-08-10,Real Salt Lake,1,HOU,0,Real Salt Lake,reg
2013-08-17,Seattle,3,HOU,1,Seattle,reg
2013-08-24,Montreal,5,HOU,0,Montreal,reg
2013-09-01,Chicago,1,HOU,1,HOU,reg
2013-09-04,Columbus,2,HOU,0,Columbus,reg
2013-09-08,Houston Dynamo,1,NY Red Bulls,4,NY Red Bulls,reg
2013-09-14,Philadelphia,0,HOU,1,HOU,reg
2013-09-21,Houston Dynamo,5,Chivas USA,1,HOU,reg
2013-09-28,New England,1,HOU,1,HOU,reg
2013-10-04,Houston Dynamo,1,Montreal,0,HOU,reg
2013-10-09,Houston Dynamo,0,Sporting KC,0,Sporting KC,reg
2013-10-20,Houston Dynamo,0,NY Red Bulls,3,NY Red Bulls,reg
2013-10-27,D.C. United,1,HOU,2,HOU,reg
