,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-08-07,11,0,0,0,0,0,0,1,No Game
2010-08-07,15,0,0,1,0,0,0,0,No Game
2010-08-08,2,0,0,0,0,0,0,1,No Game
2010-08-08,12,0,1,0,0,0,0,0,No Game
2010-08-08,13,1,0,0,0,0,0,0,No Game
2010-08-08,15,0,0,1,0,0,0,0,No Game
2010-08-08,20,0,0,0,0,0,0,1,No Game
2010-08-09,9,0,0,0,0,0,0,1,No Game
2010-08-09,21,0,0,0,0,0,1,0,No Game
2010-08-10,7,0,0,0,0,0,0,1,No Game
2010-08-10,21,0,0,0,0,0,0,1,No Game
2010-08-10,23,0,0,0,0,0,0,1,No Game
2010-08-11,0,0,0,0,0,0,0,1,No Game
2010-08-11,0,0,0,0,0,0,0,1,No Game
2010-08-13,14,0,0,0,0,0,1,0,No Game
2010-08-13,19,0,0,0,0,0,0,1,No Game
2010-08-13,23,0,0,0,0,0,0,1,No Game
2010-08-13,23,0,0,0,0,0,0,1,No Game
2010-08-14,1,0,0,0,0,0,0,1,No Game
2010-08-14,17,0,1,0,0,0,0,0,No Game
2010-08-15,1,0,0,0,0,0,0,1,No Game
2010-08-15,5,0,1,0,0,0,0,0,No Game
2010-08-16,16,0,0,0,0,0,0,1,No Game
2010-08-18,0,0,0,0,0,0,0,1,No Game
2010-08-18,13,0,0,0,0,0,0,1,No Game
2010-08-18,20,0,1,0,0,0,0,0,No Game
2010-08-18,20,1,0,0,0,0,0,0,No Game
2010-08-19,0,0,0,0,0,0,0,1,No Game
2010-08-19,18,0,0,1,0,0,0,0,No Game
2010-08-19,20,0,0,0,0,0,0,1,No Game
2010-08-20,12,0,0,1,0,0,0,0,No Game
2010-08-20,13,0,0,0,0,0,0,1,No Game
2010-08-20,21,0,0,0,0,0,0,1,No Game
2010-08-21,3,0,0,0,0,0,0,1,Won Game
2010-08-21,11,0,0,0,0,0,0,1,Won Game
2010-08-23,21,0,0,1,0,0,0,0,No Game
2010-08-24,19,0,0,0,0,0,0,1,No Game
2010-08-25,13,0,0,1,0,0,0,0,No Game
2010-08-27,15,0,0,1,0,0,0,0,No Game
2010-08-28,11,0,0,0,0,0,0,1,No Game
2010-08-28,23,0,0,0,0,0,0,1,No Game
2010-08-30,12,0,0,1,0,0,0,0,No Game
2010-08-30,15,0,0,0,0,0,0,1,No Game
2010-09-02,20,0,0,1,0,0,0,0,No Game
2010-09-03,16,0,0,0,0,0,0,1,No Game
2010-09-03,19,0,0,1,0,0,0,0,No Game
2010-09-03,19,0,0,0,0,0,0,1,No Game
2010-09-04,23,0,0,0,0,0,0,1,No Game
2010-09-05,15,0,0,0,0,0,0,1,Lost Game
2010-09-06,0,0,0,0,0,0,0,1,No Game
2010-09-06,0,0,0,0,0,0,0,1,No Game
2010-09-06,2,0,0,1,0,0,0,0,No Game
2010-09-06,20,0,0,0,0,0,0,1,No Game
2010-09-07,0,0,0,0,0,0,0,1,No Game
2010-09-07,7,0,0,0,0,0,0,1,No Game
2010-09-07,15,0,0,1,0,0,0,0,No Game
2010-09-08,0,0,0,0,0,0,0,1,No Game
2010-09-08,12,0,0,0,0,0,0,1,No Game
2010-09-08,23,0,0,1,0,0,0,0,No Game
2010-09-09,15,0,0,1,0,0,0,0,No Game
2010-09-10,9,0,0,1,0,0,0,0,No Game
2010-09-10,17,0,0,0,0,0,0,1,No Game
2010-09-10,22,0,0,0,0,0,0,1,No Game
2010-09-10,22,0,0,0,0,0,0,1,No Game
2010-09-10,23,0,0,0,0,0,0,1,No Game
2010-09-11,23,0,0,0,0,0,0,1,No Game
2010-09-12,9,0,1,0,0,0,0,0,No Game
2010-09-12,10,0,0,1,0,0,0,0,No Game
2010-09-12,22,0,0,1,0,0,0,0,No Game
2010-09-14,22,0,0,0,0,0,0,1,No Game
2010-09-15,11,0,0,0,0,0,0,1,No Game
2010-09-16,0,0,1,0,0,0,0,0,No Game
2010-09-17,23,0,1,0,0,0,0,0,No Game
2010-09-19,4,1,0,0,0,0,0,0,No Game
2010-09-19,12,0,0,0,0,0,0,1,No Game
2010-09-20,6,0,0,0,0,0,0,1,No Game
2010-09-20,18,0,1,0,0,0,0,0,No Game
2010-09-20,23,0,0,0,0,0,0,1,No Game
2010-09-21,18,0,0,1,0,0,0,0,No Game
2010-09-21,20,0,0,0,0,0,0,1,No Game
2010-09-22,0,0,1,0,0,0,0,0,No Game
2010-09-22,21,0,0,0,0,0,0,1,No Game
2010-09-23,0,0,0,0,0,0,0,1,No Game
2010-09-24,20,0,1,0,0,0,0,0,No Game
2010-09-24,22,0,0,0,0,0,0,1,No Game
2010-09-24,23,0,0,0,0,0,1,0,No Game
2010-09-24,23,0,0,0,0,0,0,1,No Game
2010-09-25,21,0,0,0,0,0,0,1,No Game
2010-09-26,6,1,0,0,0,0,0,0,No Game
2010-09-27,10,0,0,0,0,0,0,1,No Game
2010-09-27,21,0,0,0,0,0,0,1,No Game
2010-09-28,16,1,0,0,0,0,0,0,No Game
2010-09-29,0,0,1,0,0,0,0,0,No Game
2010-09-29,7,0,0,0,0,0,0,1,No Game
2010-09-30,13,0,0,0,0,0,0,1,No Game
2010-09-30,18,0,0,1,0,0,0,0,No Game
2010-09-30,20,0,0,0,0,0,0,1,No Game
2010-09-30,22,0,0,0,0,0,0,1,No Game
2010-10-01,12,0,0,1,0,0,0,0,No Game
2010-10-02,0,0,0,0,0,0,0,1,No Game
2010-10-02,12,0,1,0,0,0,0,0,No Game
2010-10-03,3,0,1,0,0,0,0,0,No Game
2010-10-04,13,0,0,0,0,0,0,1,No Game
2010-10-04,20,0,0,1,0,0,0,0,No Game
2010-10-07,19,0,0,0,0,0,0,1,No Game
2010-10-08,12,0,0,0,0,0,0,1,No Game
2010-10-08,12,0,0,0,0,0,0,1,No Game
2010-10-08,23,0,0,0,0,0,0,1,No Game
2010-10-09,13,1,0,0,0,0,0,0,No Game
2010-10-09,19,0,1,0,0,0,0,0,No Game
2010-10-10,11,0,0,0,0,0,0,1,Lost Game
2010-10-11,14,0,0,0,0,0,0,1,No Game
2010-10-12,15,0,0,0,0,0,0,1,No Game
2010-10-12,23,0,0,0,0,0,0,1,No Game
2010-10-13,22,0,0,0,0,0,0,1,No Game
2010-10-13,22,0,0,0,0,0,0,1,No Game
