date,team,opponent,tm,opp,win_lost,season
2015-04-10,Houston Rockets,San Antonio Spurs,103,104,L,regular
2015-04-12,Houston Rockets,New Orleans Pelicans,121,114,W,regular
2015-04-15,Houston Rockets,Utah Jazz,117,91,W,regular
2015-04-18,Houston Rockets,Dallas Mavericks,118,108,W,playoffs
2015-04-21,Houston Rockets,Dallas Mavericks,111,99,W,playoffs
2015-04-28,Houston Rockets,Dallas Mavericks,103,94,W,playoffs
2015-05-04,Houston Rockets,Los Angeles Clippers,101,117,L,playoffs
2015-05-06,Houston Rockets,Los Angeles Clippers,115,109,W,playoffs
2015-05-12,Houston Rockets,Los Angeles Clippers,124,103,W,playoffs
2015-05-17,Houston Rockets,Los Angeles Clippers,113,100,W,playoffs
2015-05-23,Houston Rockets,Golden State Warriors,80,115,L,playoffs
2015-05-25,Houston Rockets,Golden State Warriors,128,115,W,playoffs
2015-10-28,Houston Rockets,Denver Nuggets,85,105,L,regular
2015-10-30,Houston Rockets,Golden State Warriors,92,112,L,regular
2015-11-02,Houston Rockets,Oklahoma City Thunder,110,105,W,regular
2015-11-04,Houston Rockets,Orlando Magic,119,114,W,regular
2015-11-11,Houston Rockets,Brooklyn Nets,98,106,L,regular
2015-11-14,Houston Rockets,Dallas Mavericks,98,110,L,regular
2015-11-16,Houston Rockets,Boston Celtics,95,111,L,regular
2015-11-18,Houston Rockets,Portland Trail Blazers,108,103,W,regular
2015-11-21,Houston Rockets,New York Knicks,102,107,L,regular
2015-11-25,Houston Rockets,Memphis Grizzlies,93,102,L,regular
2015-11-27,Houston Rockets,Philadelphia 76ers,116,114,W,regular
2015-12-02,Houston Rockets,New Orleans Pelicans,108,101,W,regular
2015-12-05,Houston Rockets,Sacramento Kings,120,113,W,regular
2015-12-12,Houston Rockets,Los Angeles Lakers,126,97,W,regular
2015-12-19,Houston Rockets,Los Angeles Clippers,107,97,W,regular
2015-12-21,Houston Rockets,Charlotte Hornets,102,95,W,regular
2015-12-25,Houston Rockets,San Antonio Spurs,88,84,W,regular
2015-12-29,Houston Rockets,Atlanta Hawks,115,121,L,regular
2015-12-31,Houston Rockets,Golden State Warriors,110,114,L,regular
